,exp_name,env_name,seed,metric,env_step,value
247,xqc,dog-trot,2,avg_return,500000.0,878.3773795438289
248,xqc,dog-trot,2,avg_return,600000.0,880.7044298843937
249,xqc,dog-trot,2,avg_return,700000.0,920.6069698806854
250,xqc,dog-trot,2,avg_return,800000.0,901.1384018551072
251,xqc,dog-trot,2,avg_return,900000.0,907.5069450955494
252,xqc,dog-trot,2,avg_return,1000000.0,910.7064214223064
253,xqc,dog-trot,3,avg_return,0.0,11.689536320224445
254,xqc,dog-trot,3,avg_return,100000.0,118.1815177759332
255,xqc,dog-trot,3,avg_return,200000.0,294.66410342392066
256,xqc,dog-trot,3,avg_return,300000.0,417.7634170604496
257,xqc,dog-trot,3,avg_return,400000.0,618.1425392052481
258,xqc,dog-trot,3,avg_return,500000.0,733.9527674603718
259,xqc,dog-trot,3,avg_return,600000.0,883.5817555715845
260,xqc,dog-trot,3,avg_return,700000.0,897.293991278562
261,xqc,dog-trot,3,avg_return,800000.0,906.153006378594
262,xqc,dog-trot,3,avg_return,900000.0,934.6881457996824
263,xqc,dog-trot,3,avg_return,1000000.0,925.0657565651742
264,xqc,dog-trot,4,avg_return,0.0,8.862087048454109
265,xqc,dog-trot,4,avg_return,100000.0,144.59432106909796
266,xqc,dog-trot,4,avg_return,200000.0,297.10506294653834
267,xqc,dog-trot,4,avg_return,300000.0,407.5641279958044
268,xqc,dog-trot,4,avg_return,400000.0,652.3906710439518
269,xqc,dog-trot,4,avg_return,500000.0,738.8884333341928
270,xqc,dog-trot,4,avg_return,600000.0,878.533920019178
271,xqc,dog-trot,4,avg_return,700000.0,850.6949096034616
272,xqc,dog-trot,4,avg_return,800000.0,871.8927716073958
273,xqc,dog-trot,4,avg_return,900000.0,886.9558011813828
274,xqc,dog-trot,4,avg_return,1000000.0,873.8982378031967
275,xqc,dog-trot,5,avg_return,0.0,5.12705781447898
276,xqc,dog-trot,5,avg_return,100000.0,142.35850272086827
277,xqc,dog-trot,5,avg_return,200000.0,267.91488096704325
